[2026-02-26T02:59:06.375Z] Metric: 2025-06-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 143 -> Added: 0
[2026-02-26T02:59:06.376Z] Metric: 2025-07-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 312 -> Added: 0
[2026-02-26T02:59:06.377Z] Metric: 2025-08-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 361 -> Added: 0
[2026-02-26T02:59:06.377Z] Metric: 2025-09-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 65 -> Added: 0
[2026-02-26T02:59:06.378Z] Metric: 2025-10-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 160 -> Added: 0
[2026-02-26T02:59:06.379Z] Metric: 2025-11-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 59 -> Added: 0
[2026-02-26T02:59:06.380Z] Metric: 2025-12-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 218 -> Added: 0
[2026-02-26T02:59:06.382Z] Metric: 2026-01-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 7 | TotalDays: 31 | Prop: 0.2258 | NewFoll: 268 -> Added: 60.516129032258064
[2026-02-26T02:59:06.923Z] Metric: 2025-01-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 0 -> Added: 0
[2026-02-26T02:59:06.924Z] Metric: 2025-02-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 28 | Prop: 0.0000 | NewFoll: 0 -> Added: 0
[2026-02-26T02:59:06.925Z] Metric: 2025-03-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 241 -> Added: 0
[2026-02-26T02:59:06.926Z] Metric: 2025-04-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 497 -> Added: 0
[2026-02-26T02:59:06.927Z] Metric: 2025-05-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 490 -> Added: 0
[2026-02-26T02:59:06.927Z] Metric: 2025-06-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 143 -> Added: 0
[2026-02-26T02:59:06.928Z] Metric: 2025-07-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 312 -> Added: 0
[2026-02-26T02:59:06.929Z] Metric: 2025-08-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 361 -> Added: 0
[2026-02-26T02:59:06.930Z] Metric: 2025-09-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 65 -> Added: 0
[2026-02-26T02:59:06.931Z] Metric: 2025-10-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 160 -> Added: 0
[2026-02-26T02:59:06.932Z] Metric: 2025-11-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 59 -> Added: 0
[2026-02-26T02:59:06.933Z] Metric: 2025-12-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 218 -> Added: 0
[2026-02-26T02:59:06.935Z] Metric: 2026-01-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 7 | TotalDays: 31 | Prop: 0.2258 | NewFoll: 268 -> Added: 60.516129032258064
